task,team_a,team_b,score
KIS Textual 3,vitrivr I,vitrivr IV,0
KIS Textual 3,vitrivr I,vitrivr V,0
KIS Textual 3,vitrivr I,vitrivr VI,0
KIS Textual 3,vitrivr I,vitrivr VII,0
KIS Textual 3,vitrivr I,vitrivr VIII,0
KIS Textual 3,vitrivr II,vitrivr III,64
KIS Textual 3,vitrivr II,vitrivr IV,0
KIS Textual 3,vitrivr II,vitrivr V,0
KIS Textual 3,vitrivr II,vitrivr VI,0
KIS Textual 3,vitrivr II,vitrivr VII,0
KIS Textual 3,vitrivr II,vitrivr VIII,0
KIS Textual 3,vitrivr III,vitrivr IV,64
KIS Textual 3,vitrivr III,vitrivr V,64
KIS Textual 3,vitrivr III,vitrivr VI,64
KIS Textual 3,vitrivr III,vitrivr VII,64
KIS Textual 3,vitrivr III,vitrivr VIII,64
KIS Textual 3,vitrivr IV,vitrivr V,0
KIS Textual 3,vitrivr IV,vitrivr VI,0
KIS Textual 3,vitrivr IV,vitrivr VII,0
KIS Textual 3,vitrivr IV,vitrivr VIII,0
KIS Textual 3,vitrivr V,vitrivr VI,0
KIS Textual 3,vitrivr V,vitrivr VII,0
KIS Textual 3,vitrivr V,vitrivr VIII,0
KIS Textual 3,vitrivr VI,vitrivr VII,0
KIS Textual 3,vitrivr VI,vitrivr VIII,0
KIS Textual 3,vitrivr VII,vitrivr VIII,0
KIS Visual 4,siret I,siret II,88
KIS Visual 4,siret I,siret III,0
KIS Visual 4,siret I,siret IV,0
KIS Visual 4,siret I,siret V,0
KIS Visual 4,siret I,siret VI,0
KIS Visual 4,siret I,siret VII,0
KIS Visual 4,siret I,vitrivr I,85
KIS Visual 4,siret I,vitrivr II,82
KIS Visual 4,siret I,vitrivr III,50
KIS Visual 4,siret I,vitrivr IV,78
KIS Visual 4,siret I,vitrivr V,93
KIS Visual 4,siret I,vitrivr VI,87
KIS Visual 4,siret I,vitrivr VII,0
KIS Visual 4,siret I,vitrivr VIII,67
KIS Visual 4,siret II,siret III,88
KIS Visual 4,siret II,siret IV,88
KIS Visual 4,siret II,siret V,88
KIS Visual 4,siret II,siret VI,88
KIS Visual 4,siret II,siret VII,88
KIS Visual 4,siret II,vitrivr I,88
KIS Visual 4,siret II,vitrivr II,88
KIS Visual 4,siret II,vitrivr III,88
KIS Visual 4,siret II,vitrivr IV,88
KIS Visual 4,siret II,vitrivr V,93
KIS Visual 4,siret II,vitrivr VI,88
KIS Visual 4,siret II,vitrivr VII,88
KIS Visual 4,siret II,vitrivr VIII,78
KIS Visual 4,siret III,siret IV,0
KIS Visual 4,siret III,siret V,0
KIS Visual 4,siret III,siret VI,0
KIS Visual 4,siret III,siret VII,0
KIS Visual 4,siret III,vitrivr I,85
KIS Visual 4,siret III,vitrivr II,82
KIS Visual 4,siret III,vitrivr III,50
KIS Visual 4,siret III,vitrivr IV,78
KIS Visual 4,siret III,vitrivr V,93
KIS Visual 4,siret III,vitrivr VI,87
KIS Visual 4,siret III,vitrivr VII,0
KIS Visual 4,siret III,vitrivr VIII,67
KIS Visual 4,siret IV,siret V,0
KIS Visual 4,siret IV,siret VI,0
KIS Visual 4,siret IV,siret VII,0
KIS Visual 4,siret IV,vitrivr I,85
KIS Visual 4,siret IV,vitrivr II,82
KIS Visual 4,siret IV,vitrivr III,50
KIS Visual 4,siret IV,vitrivr IV,78
KIS Visual 4,siret IV,vitrivr V,93
KIS Visual 4,siret IV,vitrivr VI,87
KIS Visual 4,siret IV,vitrivr VII,0
KIS Visual 4,siret IV,vitrivr VIII,67
KIS Visual 4,siret V,siret VI,0
KIS Visual 4,siret V,siret VII,0
KIS Visual 4,siret V,vitrivr I,85
KIS Visual 4,siret V,vitrivr II,82
KIS Visual 4,siret V,vitrivr III,50
KIS Visual 4,siret V,vitrivr IV,78
KIS Visual 4,siret V,vitrivr V,93
KIS Visual 4,siret V,vitrivr VI,87
KIS Visual 4,siret V,vitrivr VII,0
KIS Visual 4,siret V,vitrivr VIII,67
KIS Visual 4,siret VI,siret VII,0
KIS Visual 4,siret VI,vitrivr I,85
KIS Visual 4,siret VI,vitrivr II,82
KIS Visual 4,siret VI,vitrivr III,50
KIS Visual 4,siret VI,vitrivr IV,78
KIS Visual 4,siret VI,vitrivr V,93
KIS Visual 4,siret VI,vitrivr VI,87
KIS Visual 4,siret VI,vitrivr VII,0
KIS Visual 4,siret VI,vitrivr VIII,67
KIS Visual 4,siret VII,vitrivr I,85
KIS Visual 4,siret VII,vitrivr II,82
KIS Visual 4,siret VII,vitrivr III,50
KIS Visual 4,siret VII,vitrivr IV,78
KIS Visual 4,siret VII,vitrivr V,93
KIS Visual 4,siret VII,vitrivr VI,87
KIS Visual 4,siret VII,vitrivr VII,0
KIS Visual 4,siret VII,vitrivr VIII,67
KIS Visual 4,vitrivr I,vitrivr II,85
KIS Visual 4,vitrivr I,vitrivr III,85
KIS Visual 4,vitrivr I,vitrivr IV,85
KIS Visual 4,vitrivr I,vitrivr V,93
KIS Visual 4,vitrivr I,vitrivr VI,87
KIS Visual 4,vitrivr I,vitrivr VII,85
KIS Visual 4,vitrivr I,vitrivr VIII,75
KIS Visual 4,vitrivr II,vitrivr III,82
KIS Visual 4,vitrivr II,vitrivr IV,82
KIS Visual 4,vitrivr II,vitrivr V,93
KIS Visual 4,vitrivr II,vitrivr VI,87
KIS Visual 4,vitrivr II,vitrivr VII,82
KIS Visual 4,vitrivr II,vitrivr VIII,72
KIS Visual 4,vitrivr III,vitrivr IV,78
KIS Visual 4,vitrivr III,vitrivr V,93
KIS Visual 4,vitrivr III,vitrivr VI,87
KIS Visual 4,vitrivr III,vitrivr VII,50
KIS Visual 4,vitrivr III,vitrivr VIII,67
KIS Visual 4,vitrivr IV,vitrivr V,93
KIS Visual 4,vitrivr IV,vitrivr VI,87
KIS Visual 4,vitrivr IV,vitrivr VII,78
KIS Visual 4,vitrivr IV,vitrivr VIII,68
KIS Visual 4,vitrivr V,vitrivr VI,93
KIS Visual 4,vitrivr V,vitrivr VII,93
KIS Visual 4,vitrivr V,vitrivr VIII,93
KIS Visual 4,vitrivr VI,vitrivr VII,87
KIS Visual 4,vitrivr VI,vitrivr VIII,77
KIS Visual 4,vitrivr VII,vitrivr VIII,67
KIS Textual 4,siret I,siret II,91
KIS Textual 4,siret I,siret III,91
KIS Textual 4,siret I,siret IV,91
KIS Textual 4,siret I,siret V,91
KIS Textual 4,siret I,siret VI,91
KIS Textual 4,siret I,siret VII,91
KIS Textual 4,siret I,vitrivr I,91
KIS Textual 4,siret I,vitrivr II,91
KIS Textual 4,siret I,vitrivr III,91
KIS Textual 4,siret I,vitrivr IV,91
KIS Textual 4,siret I,vitrivr V,91
KIS Textual 4,siret I,vitrivr VI,91
KIS Textual 4,siret I,vitrivr VII,91
KIS Textual 4,siret I,vitrivr VIII,91
KIS Textual 4,siret II,siret III,90
KIS Textual 4,siret II,siret IV,90
KIS Textual 4,siret II,siret V,90
KIS Textual 4,siret II,siret VI,90
KIS Textual 4,siret II,siret VII,80
KIS Textual 4,siret II,vitrivr I,90
KIS Textual 4,siret II,vitrivr II,90
KIS Textual 4,siret II,vitrivr III,90
KIS Textual 4,siret II,vitrivr IV,90
KIS Textual 4,siret II,vitrivr V,90
KIS Textual 4,siret II,vitrivr VI,90
KIS Textual 4,siret II,vitrivr VII,90
KIS Textual 4,siret II,vitrivr VIII,90
KIS Textual 4,siret III,siret IV,90
KIS Textual 4,siret III,siret V,65
KIS Textual 4,siret III,siret VI,68
KIS Textual 4,siret III,siret VII,76
KIS Textual 4,siret III,vitrivr I,0
KIS Textual 4,siret III,vitrivr II,42
KIS Textual 4,siret III,vitrivr III,48
KIS Textual 4,siret III,vitrivr IV,75
KIS Textual 4,siret III,vitrivr V,89
KIS Textual 4,siret III,vitrivr VI,0
KIS Textual 4,siret III,vitrivr VII,0
KIS Textual 4,siret III,vitrivr VIII,0
KIS Textual 4,siret IV,siret V,90
KIS Textual 4,siret IV,siret VI,90
KIS Textual 4,siret IV,siret VII,90
KIS Textual 4,siret IV,vitrivr I,90
KIS Textual 4,siret IV,vitrivr II,90
KIS Textual 4,siret IV,vitrivr III,90
KIS Textual 4,siret IV,vitrivr IV,90
KIS Textual 4,siret IV,vitrivr V,90
KIS Textual 4,siret IV,vitrivr VI,90
KIS Textual 4,siret IV,vitrivr VII,90
KIS Textual 4,siret IV,vitrivr VIII,90
KIS Textual 4,siret V,siret VI,68
KIS Textual 4,siret V,siret VII,76
KIS Textual 4,siret V,vitrivr I,65
KIS Textual 4,siret V,vitrivr II,65
KIS Textual 4,siret V,vitrivr III,65
KIS Textual 4,siret V,vitrivr IV,75
KIS Textual 4,siret V,vitrivr V,89
KIS Textual 4,siret V,vitrivr VI,65
KIS Textual 4,siret V,vitrivr VII,65
KIS Textual 4,siret V,vitrivr VIII,65
KIS Textual 4,siret VI,siret VII,76
KIS Textual 4,siret VI,vitrivr I,68
KIS Textual 4,siret VI,vitrivr II,68
KIS Textual 4,siret VI,vitrivr III,68
KIS Textual 4,siret VI,vitrivr IV,68
KIS Textual 4,siret VI,vitrivr V,89
KIS Textual 4,siret VI,vitrivr VI,68
KIS Textual 4,siret VI,vitrivr VII,68
KIS Textual 4,siret VI,vitrivr VIII,68
KIS Textual 4,siret VII,vitrivr I,76
KIS Textual 4,siret VII,vitrivr II,76
KIS Textual 4,siret VII,vitrivr III,76
KIS Textual 4,siret VII,vitrivr IV,76
KIS Textual 4,siret VII,vitrivr V,79
KIS Textual 4,siret VII,vitrivr VI,76
KIS Textual 4,siret VII,vitrivr VII,76
KIS Textual 4,siret VII,vitrivr VIII,76
KIS Textual 4,vitrivr I,vitrivr II,42
KIS Textual 4,vitrivr I,vitrivr III,48
KIS Textual 4,vitrivr I,vitrivr IV,75
KIS Textual 4,vitrivr I,vitrivr V,89
KIS Textual 4,vitrivr I,vitrivr VI,0
KIS Textual 4,vitrivr I,vitrivr VII,0
KIS Textual 4,vitrivr I,vitrivr VIII,0
KIS Textual 4,vitrivr II,vitrivr III,48
KIS Textual 4,vitrivr II,vitrivr IV,75
KIS Textual 4,vitrivr II,vitrivr V,89
KIS Textual 4,vitrivr II,vitrivr VI,42
KIS Textual 4,vitrivr II,vitrivr VII,42
KIS Textual 4,vitrivr II,vitrivr VIII,42
KIS Textual 4,vitrivr III,vitrivr IV,75
KIS Textual 4,vitrivr III,vitrivr V,89
KIS Textual 4,vitrivr III,vitrivr VI,48
KIS Textual 4,vitrivr III,vitrivr VII,48
KIS Textual 4,vitrivr III,vitrivr VIII,48
KIS Textual 4,vitrivr IV,vitrivr V,89
KIS Textual 4,vitrivr IV,vitrivr VI,75
KIS Textual 4,vitrivr IV,vitrivr VII,75
KIS Textual 4,vitrivr IV,vitrivr VIII,75
KIS Textual 4,vitrivr V,vitrivr VI,89
KIS Textual 4,vitrivr V,vitrivr VII,89
KIS Textual 4,vitrivr V,vitrivr VIII,89
KIS Textual 4,vitrivr VI,vitrivr VII,0
KIS Textual 4,vitrivr VI,vitrivr VIII,0
KIS Textual 4,vitrivr VII,vitrivr VIII,0
KIS Visual 5,siret I,siret II,89
KIS Visual 5,siret I,siret III,82
KIS Visual 5,siret I,siret IV,85
KIS Visual 5,siret I,siret V,90
KIS Visual 5,siret I,siret VI,84
KIS Visual 5,siret I,siret VII,82
KIS Visual 5,siret I,vitrivr I,82
KIS Visual 5,siret I,vitrivr II,82
KIS Visual 5,siret I,vitrivr III,82
KIS Visual 5,siret I,vitrivr IV,82
KIS Visual 5,siret I,vitrivr V,82
KIS Visual 5,siret I,vitrivr VI,82
KIS Visual 5,siret I,vitrivr VII,82
KIS Visual 5,siret I,vitrivr VIII,82
KIS Visual 5,siret II,siret III,89
KIS Visual 5,siret II,siret IV,89
KIS Visual 5,siret II,siret V,90
KIS Visual 5,siret II,siret VI,89
KIS Visual 5,siret II,siret VII,89
KIS Visual 5,siret II,vitrivr I,89
KIS Visual 5,siret II,vitrivr II,89
KIS Visual 5,siret II,vitrivr III,89
KIS Visual 5,siret II,vitrivr IV,89
KIS Visual 5,siret II,vitrivr V,89
KIS Visual 5,siret II,vitrivr VI,89
KIS Visual 5,siret II,vitrivr VII,89
KIS Visual 5,siret II,vitrivr VIII,89
KIS Visual 5,siret III,siret IV,85
KIS Visual 5,siret III,siret V,90
KIS Visual 5,siret III,siret VI,84
KIS Visual 5,siret III,siret VII,74
KIS Visual 5,siret III,vitrivr I,74
KIS Visual 5,siret III,vitrivr II,74
KIS Visual 5,siret III,vitrivr III,74
KIS Visual 5,siret III,vitrivr IV,74
KIS Visual 5,siret III,vitrivr V,74
KIS Visual 5,siret III,vitrivr VI,74
KIS Visual 5,siret III,vitrivr VII,74
KIS Visual 5,siret III,vitrivr VIII,74
KIS Visual 5,siret IV,siret V,90
KIS Visual 5,siret IV,siret VI,85
KIS Visual 5,siret IV,siret VII,85
KIS Visual 5,siret IV,vitrivr I,85
KIS Visual 5,siret IV,vitrivr II,85
KIS Visual 5,siret IV,vitrivr III,85
KIS Visual 5,siret IV,vitrivr IV,85
KIS Visual 5,siret IV,vitrivr V,85
KIS Visual 5,siret IV,vitrivr VI,85
KIS Visual 5,siret IV,vitrivr VII,85
KIS Visual 5,siret IV,vitrivr VIII,85
KIS Visual 5,siret V,siret VI,90
KIS Visual 5,siret V,siret VII,90
KIS Visual 5,siret V,vitrivr I,90
KIS Visual 5,siret V,vitrivr II,90
KIS Visual 5,siret V,vitrivr III,90
KIS Visual 5,siret V,vitrivr IV,90
KIS Visual 5,siret V,vitrivr V,90
KIS Visual 5,siret V,vitrivr VI,90
KIS Visual 5,siret V,vitrivr VII,90
KIS Visual 5,siret V,vitrivr VIII,90
KIS Visual 5,siret VI,siret VII,84
KIS Visual 5,siret VI,vitrivr I,84
KIS Visual 5,siret VI,vitrivr II,84
KIS Visual 5,siret VI,vitrivr III,84
KIS Visual 5,siret VI,vitrivr IV,84
KIS Visual 5,siret VI,vitrivr V,84
KIS Visual 5,siret VI,vitrivr VI,84
KIS Visual 5,siret VI,vitrivr VII,84
KIS Visual 5,siret VI,vitrivr VIII,84
KIS Visual 5,siret VII,vitrivr I,74
KIS Visual 5,siret VII,vitrivr II,74
KIS Visual 5,siret VII,vitrivr III,74
KIS Visual 5,siret VII,vitrivr IV,74
KIS Visual 5,siret VII,vitrivr V,74
KIS Visual 5,siret VII,vitrivr VI,74
KIS Visual 5,siret VII,vitrivr VII,74
KIS Visual 5,siret VII,vitrivr VIII,74
KIS Visual 5,vitrivr I,vitrivr II,0
KIS Visual 5,vitrivr I,vitrivr III,0
KIS Visual 5,vitrivr I,vitrivr IV,0
KIS Visual 5,vitrivr I,vitrivr V,0
KIS Visual 5,vitrivr I,vitrivr VI,0
KIS Visual 5,vitrivr I,vitrivr VII,0
KIS Visual 5,vitrivr I,vitrivr VIII,52
KIS Visual 5,vitrivr II,vitrivr III,0
KIS Visual 5,vitrivr II,vitrivr IV,0
KIS Visual 5,vitrivr II,vitrivr V,0
KIS Visual 5,vitrivr II,vitrivr VI,0
KIS Visual 5,vitrivr II,vitrivr VII,0
KIS Visual 5,vitrivr II,vitrivr VIII,52
KIS Visual 5,vitrivr III,vitrivr IV,0
KIS Visual 5,vitrivr III,vitrivr V,0
KIS Visual 5,vitrivr III,vitrivr VI,0
KIS Visual 5,vitrivr III,vitrivr VII,0
KIS Visual 5,vitrivr III,vitrivr VIII,52
KIS Visual 5,vitrivr IV,vitrivr V,0
KIS Visual 5,vitrivr IV,vitrivr VI,0
KIS Visual 5,vitrivr IV,vitrivr VII,0
KIS Visual 5,vitrivr IV,vitrivr VIII,52
KIS Visual 5,vitrivr V,vitrivr VI,0
KIS Visual 5,vitrivr V,vitrivr VII,0
KIS Visual 5,vitrivr V,vitrivr VIII,52
KIS Visual 5,vitrivr VI,vitrivr VII,0
KIS Visual 5,vitrivr VI,vitrivr VIII,52
KIS Visual 5,vitrivr VII,vitrivr VIII,52
KIS Textual 5,siret I,siret II,0
KIS Textual 5,siret I,siret III,0
KIS Textual 5,siret I,siret IV,67
KIS Textual 5,siret I,siret V,0
KIS Textual 5,siret I,siret VI,0
KIS Textual 5,siret I,siret VII,52
KIS Textual 5,siret I,vitrivr I,0
KIS Textual 5,siret I,vitrivr II,59
KIS Textual 5,siret I,vitrivr III,0
KIS Textual 5,siret I,vitrivr IV,54
KIS Textual 5,siret I,vitrivr V,0
KIS Textual 5,siret I,vitrivr VI,0
KIS Textual 5,siret I,vitrivr VII,0
KIS Textual 5,siret I,vitrivr VIII,64
KIS Textual 5,siret II,siret III,0
KIS Textual 5,siret II,siret IV,67
KIS Textual 5,siret II,siret V,0
KIS Textual 5,siret II,siret VI,0
KIS Textual 5,siret II,siret VII,42
KIS Textual 5,siret II,vitrivr I,0
KIS Textual 5,siret II,vitrivr II,59
KIS Textual 5,siret II,vitrivr III,0
KIS Textual 5,siret II,vitrivr IV,54
KIS Textual 5,siret II,vitrivr V,0
KIS Textual 5,siret II,vitrivr VI,0
KIS Textual 5,siret II,vitrivr VII,0
KIS Textual 5,siret II,vitrivr VIII,64
KIS Textual 5,siret III,siret IV,67
KIS Textual 5,siret III,siret V,0
KIS Textual 5,siret III,siret VI,0
KIS Textual 5,siret III,siret VII,52
KIS Textual 5,siret III,vitrivr I,0
KIS Textual 5,siret III,vitrivr II,59
KIS Textual 5,siret III,vitrivr III,0
KIS Textual 5,siret III,vitrivr IV,54
KIS Textual 5,siret III,vitrivr V,0
KIS Textual 5,siret III,vitrivr VI,0
KIS Textual 5,siret III,vitrivr VII,0
KIS Textual 5,siret III,vitrivr VIII,64
KIS Textual 5,siret IV,siret V,67
KIS Textual 5,siret IV,siret VI,67
KIS Textual 5,siret IV,siret VII,67
KIS Textual 5,siret IV,vitrivr I,67
KIS Textual 5,siret IV,vitrivr II,67
KIS Textual 5,siret IV,vitrivr III,67
KIS Textual 5,siret IV,vitrivr IV,67
KIS Textual 5,siret IV,vitrivr V,67
KIS Textual 5,siret IV,vitrivr VI,67
KIS Textual 5,siret IV,vitrivr VII,67
KIS Textual 5,siret IV,vitrivr VIII,67
KIS Textual 5,siret V,siret VI,0
KIS Textual 5,siret V,siret VII,52
KIS Textual 5,siret V,vitrivr I,0
KIS Textual 5,siret V,vitrivr II,59
KIS Textual 5,siret V,vitrivr III,0
KIS Textual 5,siret V,vitrivr IV,54
KIS Textual 5,siret V,vitrivr V,0
KIS Textual 5,siret V,vitrivr VI,0
KIS Textual 5,siret V,vitrivr VII,0
KIS Textual 5,siret V,vitrivr VIII,64
KIS Textual 5,siret VI,siret VII,52
KIS Textual 5,siret VI,vitrivr I,0
KIS Textual 5,siret VI,vitrivr II,59
KIS Textual 5,siret VI,vitrivr III,0
KIS Textual 5,siret VI,vitrivr IV,54
KIS Textual 5,siret VI,vitrivr V,0
KIS Textual 5,siret VI,vitrivr VI,0
KIS Textual 5,siret VI,vitrivr VII,0
KIS Textual 5,siret VI,vitrivr VIII,64
KIS Textual 5,siret VII,vitrivr I,52
KIS Textual 5,siret VII,vitrivr II,59
KIS Textual 5,siret VII,vitrivr III,52
KIS Textual 5,siret VII,vitrivr IV,54
KIS Textual 5,siret VII,vitrivr V,52
KIS Textual 5,siret VII,vitrivr VI,52
KIS Textual 5,siret VII,vitrivr VII,52
KIS Textual 5,siret VII,vitrivr VIII,64
KIS Textual 5,vitrivr I,vitrivr II,59
KIS Textual 5,vitrivr I,vitrivr III,0
KIS Textual 5,vitrivr I,vitrivr IV,54
KIS Textual 5,vitrivr I,vitrivr V,0
KIS Textual 5,vitrivr I,vitrivr VI,0
KIS Textual 5,vitrivr I,vitrivr VII,0
KIS Textual 5,vitrivr I,vitrivr VIII,64
KIS Textual 5,vitrivr II,vitrivr III,59
KIS Textual 5,vitrivr II,vitrivr IV,59
KIS Textual 5,vitrivr II,vitrivr V,59
KIS Textual 5,vitrivr II,vitrivr VI,59
KIS Textual 5,vitrivr II,vitrivr VII,59
KIS Textual 5,vitrivr II,vitrivr VIII,64
KIS Textual 5,vitrivr III,vitrivr IV,54
KIS Textual 5,vitrivr III,vitrivr V,0
KIS Textual 5,vitrivr III,vitrivr VI,0
KIS Textual 5,vitrivr III,vitrivr VII,0
KIS Textual 5,vitrivr III,vitrivr VIII,64
KIS Textual 5,vitrivr IV,vitrivr V,54
KIS Textual 5,vitrivr IV,vitrivr VI,54
KIS Textual 5,vitrivr IV,vitrivr VII,54
KIS Textual 5,vitrivr IV,vitrivr VIII,64
KIS Textual 5,vitrivr V,vitrivr VI,0
KIS Textual 5,vitrivr V,vitrivr VII,0
KIS Textual 5,vitrivr V,vitrivr VIII,64
KIS Textual 5,vitrivr VI,vitrivr VII,0
KIS Textual 5,vitrivr VI,vitrivr VIII,64
KIS Textual 5,vitrivr VII,vitrivr VIII,64
KIS Visual 6,siret I,siret II,86
KIS Visual 6,siret I,siret III,91
KIS Visual 6,siret I,siret IV,86
KIS Visual 6,siret I,siret V,64
KIS Visual 6,siret I,siret VI,64
KIS Visual 6,siret I,siret VII,64
KIS Visual 6,siret I,vitrivr I,89
KIS Visual 6,siret I,vitrivr II,70
KIS Visual 6,siret I,vitrivr III,64
KIS Visual 6,siret I,vitrivr IV,64
KIS Visual 6,siret I,vitrivr V,77
KIS Visual 6,siret I,vitrivr VI,64
KIS Visual 6,siret I,vitrivr VII,64
KIS Visual 6,siret I,vitrivr VIII,64
KIS Visual 6,siret II,siret III,91
KIS Visual 6,siret II,siret IV,86
KIS Visual 6,siret II,siret V,86
KIS Visual 6,siret II,siret VI,86
KIS Visual 6,siret II,siret VII,86
KIS Visual 6,siret II,vitrivr I,89
KIS Visual 6,siret II,vitrivr II,86
KIS Visual 6,siret II,vitrivr III,86
KIS Visual 6,siret II,vitrivr IV,86
KIS Visual 6,siret II,vitrivr V,86
KIS Visual 6,siret II,vitrivr VI,86
KIS Visual 6,siret II,vitrivr VII,86
KIS Visual 6,siret II,vitrivr VIII,86
KIS Visual 6,siret III,siret IV,91
KIS Visual 6,siret III,siret V,91
KIS Visual 6,siret III,siret VI,91
KIS Visual 6,siret III,siret VII,91
KIS Visual 6,siret III,vitrivr I,91
KIS Visual 6,siret III,vitrivr II,91
KIS Visual 6,siret III,vitrivr III,91
KIS Visual 6,siret III,vitrivr IV,91
KIS Visual 6,siret III,vitrivr V,91
KIS Visual 6,siret III,vitrivr VI,91
KIS Visual 6,siret III,vitrivr VII,91
KIS Visual 6,siret III,vitrivr VIII,91
KIS Visual 6,siret IV,siret V,86
KIS Visual 6,siret IV,siret VI,86
KIS Visual 6,siret IV,siret VII,86
KIS Visual 6,siret IV,vitrivr I,89
KIS Visual 6,siret IV,vitrivr II,86
KIS Visual 6,siret IV,vitrivr III,86
KIS Visual 6,siret IV,vitrivr IV,86
KIS Visual 6,siret IV,vitrivr V,86
KIS Visual 6,siret IV,vitrivr VI,86
KIS Visual 6,siret IV,vitrivr VII,86
KIS Visual 6,siret IV,vitrivr VIII,86
KIS Visual 6,siret V,siret VI,57
KIS Visual 6,siret V,siret VII,57
KIS Visual 6,siret V,vitrivr I,89
KIS Visual 6,siret V,vitrivr II,70
KIS Visual 6,siret V,vitrivr III,60
KIS Visual 6,siret V,vitrivr IV,57
KIS Visual 6,siret V,vitrivr V,77
KIS Visual 6,siret V,vitrivr VI,57
KIS Visual 6,siret V,vitrivr VII,57
KIS Visual 6,siret V,vitrivr VIII,57
KIS Visual 6,siret VI,siret VII,0
KIS Visual 6,siret VI,vitrivr I,89
KIS Visual 6,siret VI,vitrivr II,70
KIS Visual 6,siret VI,vitrivr III,60
KIS Visual 6,siret VI,vitrivr IV,0
KIS Visual 6,siret VI,vitrivr V,77
KIS Visual 6,siret VI,vitrivr VI,0
KIS Visual 6,siret VI,vitrivr VII,0
KIS Visual 6,siret VI,vitrivr VIII,0
KIS Visual 6,siret VII,vitrivr I,89
KIS Visual 6,siret VII,vitrivr II,70
KIS Visual 6,siret VII,vitrivr III,60
KIS Visual 6,siret VII,vitrivr IV,0
KIS Visual 6,siret VII,vitrivr V,77
KIS Visual 6,siret VII,vitrivr VI,0
KIS Visual 6,siret VII,vitrivr VII,0
KIS Visual 6,siret VII,vitrivr VIII,0
KIS Visual 6,vitrivr I,vitrivr II,89
KIS Visual 6,vitrivr I,vitrivr III,89
KIS Visual 6,vitrivr I,vitrivr IV,89
KIS Visual 6,vitrivr I,vitrivr V,89
KIS Visual 6,vitrivr I,vitrivr VI,89
KIS Visual 6,vitrivr I,vitrivr VII,89
KIS Visual 6,vitrivr I,vitrivr VIII,89
KIS Visual 6,vitrivr II,vitrivr III,70
KIS Visual 6,vitrivr II,vitrivr IV,70
KIS Visual 6,vitrivr II,vitrivr V,77
KIS Visual 6,vitrivr II,vitrivr VI,70
KIS Visual 6,vitrivr II,vitrivr VII,70
KIS Visual 6,vitrivr II,vitrivr VIII,70
KIS Visual 6,vitrivr III,vitrivr IV,60
KIS Visual 6,vitrivr III,vitrivr V,77
KIS Visual 6,vitrivr III,vitrivr VI,60
KIS Visual 6,vitrivr III,vitrivr VII,60
KIS Visual 6,vitrivr III,vitrivr VIII,60
KIS Visual 6,vitrivr IV,vitrivr V,77
KIS Visual 6,vitrivr IV,vitrivr VI,0
KIS Visual 6,vitrivr IV,vitrivr VII,0
KIS Visual 6,vitrivr IV,vitrivr VIII,0
KIS Visual 6,vitrivr V,vitrivr VI,77
KIS Visual 6,vitrivr V,vitrivr VII,77
KIS Visual 6,vitrivr V,vitrivr VIII,77
KIS Visual 6,vitrivr VI,vitrivr VII,0
KIS Visual 6,vitrivr VI,vitrivr VIII,0
KIS Visual 6,vitrivr VII,vitrivr VIII,0
KIS Textual 6,siret I,siret II,73
KIS Textual 6,siret I,siret III,63
KIS Textual 6,siret I,siret IV,0
KIS Textual 6,siret I,siret V,91
KIS Textual 6,siret I,siret VI,89
KIS Textual 6,siret I,siret VII,0
KIS Textual 6,siret I,vitrivr I,0
KIS Textual 6,siret I,vitrivr II,72
KIS Textual 6,siret I,vitrivr III,0
KIS Textual 6,siret I,vitrivr IV,0
KIS Textual 6,siret I,vitrivr V,0
KIS Textual 6,siret I,vitrivr VI,0
KIS Textual 6,siret I,vitrivr VII,0
KIS Textual 6,siret I,vitrivr VIII,0
KIS Textual 6,siret II,siret III,73
KIS Textual 6,siret II,siret IV,73
KIS Textual 6,siret II,siret V,91
KIS Textual 6,siret II,siret VI,89
KIS Textual 6,siret II,siret VII,73
KIS Textual 6,siret II,vitrivr I,73
KIS Textual 6,siret II,vitrivr II,73
KIS Textual 6,siret II,vitrivr III,73
KIS Textual 6,siret II,vitrivr IV,73
KIS Textual 6,siret II,vitrivr V,73
KIS Textual 6,siret II,vitrivr VI,73
KIS Textual 6,siret II,vitrivr VII,73
KIS Textual 6,siret II,vitrivr VIII,73
KIS Textual 6,siret III,siret IV,43
KIS Textual 6,siret III,siret V,91
KIS Textual 6,siret III,siret VI,89
KIS Textual 6,siret III,siret VII,63
KIS Textual 6,siret III,vitrivr I,63
KIS Textual 6,siret III,vitrivr II,72
KIS Textual 6,siret III,vitrivr III,63
KIS Textual 6,siret III,vitrivr IV,63
KIS Textual 6,siret III,vitrivr V,63
KIS Textual 6,siret III,vitrivr VI,63
KIS Textual 6,siret III,vitrivr VII,63
KIS Textual 6,siret III,vitrivr VIII,63
KIS Textual 6,siret IV,siret V,91
KIS Textual 6,siret IV,siret VI,89
KIS Textual 6,siret IV,siret VII,0
KIS Textual 6,siret IV,vitrivr I,0
KIS Textual 6,siret IV,vitrivr II,52
KIS Textual 6,siret IV,vitrivr III,0
KIS Textual 6,siret IV,vitrivr IV,0
KIS Textual 6,siret IV,vitrivr V,0
KIS Textual 6,siret IV,vitrivr VI,0
KIS Textual 6,siret IV,vitrivr VII,0
KIS Textual 6,siret IV,vitrivr VIII,0
